BarrierID,Status,LastUpdate,Type,BarrierCk,CheckType,BarrierCk2,CheckType2,Descrip,Redev,long,lat
179,closed,09/21/18,complete,07/17,google maps,NA,NA,4400-block of Laclede Ave at North Taylor Ave,FALSE,-90.25883500531818,38.63964551359645
187,redeveloped,04/06/18,NA,NA,NA,NA,NA,NA,NA,-90.26087792084425,38.637268495386245
190,closed,09/21/18,complete,05/28/17,in-person,NA,NA,4100-block of West Pine Blvd at North Sarah St,FALSE,-90.24626079195258,38.63850944067935
199,closed,09/21/18,complete,07/17,google maps,NA,NA,4400-block of Enright Ave at North Taylor Ave,FALSE,-90.25275718387465,38.651167259117074
219,closed,09/21/18,complete,07/17,google maps,NA,NA,4900-block of Highland Ave at North Kingshighway Blvd,FALSE,-90.25759287988126,38.667987068142295
220,closed,09/21/18,complete,07/17,google maps,NA,NA,4900-block of East Labadie Ave at North Kingshighway Blvd,FALSE,-90.25456355327755,38.6722004195779
221,closed,09/21/18,complete,07/17,google maps,NA,NA,4900-block of Lotus Ave at North Kingshighway Blvd,FALSE,-90.25899037855865,38.666336918052956
222,closed,09/21/18,complete,07/17,google maps,NA,NA,4900-block of Maffitt Ave at North Kingshighway Blvd,FALSE,-90.25635330974612,38.66971544045854
226,closed,09/21/18,complete,07/17,google maps,NA,NA,4900-block of Wabada Ave at North Kingshighway Blvd,FALSE,-90.25825356716533,38.66713635614024
240,closed,09/21/18,complete,09/14,google maps,NA,NA,5600-block of Cabanne Ave at Ruth C. Porter Mall,FALSE,-90.28340840017948,38.65860373109022
292,closed,09/21/18,complete,09/14,google maps,NA,NA,5700-block of Cabanne Ave at Ruth C. Porter Mall,FALSE,-90.28380523175107,38.658645062946995
254,closed,09/21/18,complete,08/17,google maps,NA,NA,5200-block of Raymond Ave at Hodiamont Tracks,FALSE,-90.27151374499603,38.657869513881984
293,closed,09/21/18,complete,08/17,google maps,NA,NA,"5300-block of Patton Ave, mid-block",FALSE,-90.26689961122585,38.667843560637266
236,closed,09/21/18,complete,08/17,google maps,NA,NA,5300-block of Theodosia Ave at Union Blvd,FALSE,-90.26701099363616,38.6667751265845
